['2020618154212101070', '本品为棕黄色至棕褐色的颗粒；味甜、微苦。']
['202061815152436174', None]
['202061815173746666', None]
['20206181526063621', None]
['20206181585033547', '本品为细微颗粒的混悬水溶液，静置后细微沉淀，振摇后成均匀的白色混悬液。']
['202061815303477810', None]
['202061815305274464', None]
['202061815101421202', None]
['2020618154788165', None]
['20206181540195226', None]
['202061815113024322', None]
['20206181547239581', None]
['202061815115426167', None]
['202061815231961814', None]
['202061815191245599', None]
['202061815345683660', None]
['2020618154224347', None]
['20206181459540475', None]
['20206181539993017', None]
['202061815471116925', None]
['202061815153737017', None]
['202061815135931504', None]
['202061815382297382', None]
['202061815253361883', None]
['202061815362886987', '本品为硬胶囊，内容物为棕褐色至黑色的颗粒；气微香，味微苦、涩。']
['202061815134838547', '本品为棕褐色的液体；昧微甜，具清凉感。']
['20206181529369792', None]
['202061815232063391', None]
['202061815311274867', None]
['202061815355286038', None]
['202061815494814642', '应为白色或灰白色疏松体，无融化迹象。复溶后为无色或淡黄色澄清液体，可带轻微乳光，不应有异物、絮状物及沉淀。']
['202061815304574061', None]
['202061815141731927', None]
['202061815204250030', None]
['202061815115426169', None]
['202061815382391229', None]
['202061815253461899', None]
['202061815191145521', None]
['202061815405997009', None]
['202061815382897439', None]
['202061815111724249', None]
['202061815191746169', None]
['202061815135931506', None]
['202061815491013292', None]
['20206181544502804', None]
['202061815161743599', None]
['202061815481910836', '本品为浅灰黄色至浅棕黄色的片；气香，味甜，微酸、涩，具清凉感。']
['202061815244459265', '本品为棕色粘稠的液体；味甜。']
['20206181545334772', None]
['20206181517140105', '本品为白色、类白色或淡黄色颗粒。']
['202061815111924357', None]
['20206181526372399', '本品为胶囊剂，内容物为棕褐色至深褐色的粉末；气芳香，味微苦。']
['202061815502816124', None]
['202061815172846700', None]
['202061815161243578', None]
['202061815161243581', None]
['202061815463212498', None]
['202061815481310661', '本品为白色片。']
['202061815495521867', '本品为胶囊剂，内容物为白色或类白色粉末。']
['202061815131929501', '本品为棕黄色的颗粒，味甜、微苦；或为棕褐色的颗粒，味微苦（无糖型或乳糖型）']
['202061815241767767', None]
['202061815284969474', None]
['202061815244759253', None]
['20206181515836227', None]
['202061815171140697', None]
['202061815491013284', None]
['20206181530883363', None]
['202061815233856829', None]
['202061815121727217', '注射剂']
['202061815104022581', None]
['202061815155437794', '本品为白色或类白色片。']
['202061815242958447', None]
['202061815332889879', None]
['202061815311589541', None]
['20206181517140034', None]
['202061815283969483', None]
['202061815121226901', None]
['202061815311785806', None]
['20206181520348613', '本品为糖衣片，除去糖衣后，显棕褐色；味苦、咸']
['202061815212651713', None]
['202061815121826885', None]
['2020618154236101699', None]
['20206181510835057', None]
['202061815305174307', None]
['202061815151034846', None]
['20206181519945623', None]
['20206181540495624', None]
['202061815283969488', None]
['202061815105135614', None]
['202061815375696671', None]
['20206181592418878', '本品为胶囊剂，剥开胶囊，内容物为棕色至棕褐色粉末，味辛，微苦。']
['2020618154312102512', None]
['202061815193747584', '本品为白色粉末或疏松块状物。']
['20206181518757475', '本品为白色薄膜衣片，除去包衣后显白色。']
['202061815354084699', None]
['202061815133831014', None]
['202061815212851846', None]
['202061815261764261', '本品为胶囊剂,内容物为黄棕色的粉末:味苦.']
['202061815111523764', None]
['202061815305874440', None]
['202061815322577654', None]
['202061815485312086', None]
['20206181592318942', '本品为薄膜衣片，除去包衣后显棕色至棕褐色；气芳香，味微苦。']
['202061815153036569', None]
['20206181519745530', None]
['202061815203460486', '本品为白色疏松块状物或粉末']
['202061815411798290', '本品内容物为白色或类白色颗粒。']
['20206181547399412', None]
['202061815133731233', None]
['20206181531474454', None]
['2020618153935100328', '本品为棕黄色至棕褐色的颗粒；味甜、微苦。']
['202061815325479005', '本品为白色或类白色片。']
['202061815133430491', '本品为棕褐色透明液体；味甜、微苦、涩。']
['202061815355286044', None]
['202061815502716061', None]
['20206181518857589', '本品为白色或类白色片。']
['20206181512626766', '本品为淡绿色澄清油状液体；有特殊的香气，味凉而辣。']
['202061815144740303', None]
['202061815383797497', None]
['202061815113825079', None]
['20206181544359906', None]
